shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|2|1|2|0.25337862968444824
(500, 784)|(784, 256)|2|1|3|0.24591302871704102
(500, 784)|(784, 256)|2|1|4|0.27797508239746094
(500, 784)|(784, 256)|2|1|5|0.27820873260498047
(500, 784)|(784, 256)|2|1|6|0.34113597869873047
(500, 784)|(784, 256)|2|1|7|0.24239897727966309
(500, 784)|(784, 256)|2|1|8|0.23004603385925293
(500, 784)|(784, 256)|2|1|9|0.37576794624328613
(500, 784)|(784, 256)|2|1|10|0.2866020202636719
(500, 784)|(784, 256)|2|1|11|0.2897677421569824
(500, 784)|(784, 256)|2|1|12|0.2981081008911133
(500, 784)|(784, 256)|2|1|13|0.2621016502380371
(500, 784)|(784, 256)|2|1|14|0.3171069622039795
(500, 784)|(784, 256)|2|1|15|0.22641682624816895
(500, 784)|(784, 256)|2|1|16|0.37798404693603516
(500, 784)|(784, 256)|2|1|17|0.2860531806945801
(500, 784)|(784, 256)|2|1|18|0.3108541965484619
(500, 784)|(784, 256)|2|1|19|0.2871689796447754
(500, 784)|(784, 256)|2|1|20|0.2199718952178955
(500, 784)|(784, 256)|2|1|21|0.29802894592285156
(500, 784)|(784, 256)|2|1|22|0.24490809440612793
(500, 784)|(784, 256)|2|1|23|0.23264217376708984
(500, 784)|(784, 256)|2|1|24|0.24962401390075684
(500, 784)|(784, 256)|2|1|25|0.28290629386901855
(500, 784)|(784, 256)|2|1|26|0.18506598472595215
(500, 784)|(784, 256)|2|1|27|0.31975817680358887
(500, 784)|(784, 256)|2|1|28|0.28345394134521484
(500, 784)|(784, 256)|2|1|29|0.2451310157775879
(500, 784)|(784, 256)|2|1|30|0.25267601013183594
(500, 784)|(784, 256)|2|1|31|0.28347206115722656
(500, 784)|(784, 256)|2|1|32|0.26146411895751953
(500, 784)|(784, 256)|3|1|2|0.2376708984375
(500, 784)|(784, 256)|3|1|3|0.29779624938964844
(500, 784)|(784, 256)|3|1|4|0.25739574432373047
(500, 784)|(784, 256)|3|1|5|0.2631261348724365
(500, 784)|(784, 256)|3|1|6|0.2699460983276367
(500, 784)|(784, 256)|3|1|7|0.2932779788970947
(500, 784)|(784, 256)|3|1|8|0.31920504570007324
(500, 784)|(784, 256)|3|1|9|0.4079749584197998
(500, 784)|(784, 256)|3|1|10|0.4067058563232422
(500, 784)|(784, 256)|3|1|11|0.37137293815612793
(500, 784)|(784, 256)|3|1|12|0.34645724296569824
(500, 784)|(784, 256)|3|1|13|0.26883912086486816
(500, 784)|(784, 256)|3|1|14|0.30043721199035645
(500, 784)|(784, 256)|3|1|15|0.30774807929992676
(500, 784)|(784, 256)|3|1|16|0.36612462997436523
(500, 784)|(784, 256)|3|1|17|0.22886300086975098
(500, 784)|(784, 256)|3|1|18|0.2701139450073242
(500, 784)|(784, 256)|3|1|19|0.30173277854919434
(500, 784)|(784, 256)|3|1|20|0.2423863410949707
(500, 784)|(784, 256)|3|1|21|0.2938270568847656
(500, 784)|(784, 256)|3|1|22|0.27675604820251465
(500, 784)|(784, 256)|3|1|23|0.2593867778778076
(500, 784)|(784, 256)|3|1|24|0.27979493141174316
(500, 784)|(784, 256)|3|1|25|0.2949209213256836
(500, 784)|(784, 256)|3|1|26|0.2601289749145508
(500, 784)|(784, 256)|3|1|27|0.32793378829956055
(500, 784)|(784, 256)|3|1|28|0.28026318550109863
(500, 784)|(784, 256)|3|1|29|0.23018503189086914
(500, 784)|(784, 256)|3|1|30|0.2325601577758789
(500, 784)|(784, 256)|3|1|31|0.28107500076293945
(500, 784)|(784, 256)|3|1|32|0.4085221290588379
(500, 784)|(784, 256)|3|2|3|0.415820837020874
(500, 784)|(784, 256)|3|2|4|0.32437801361083984
(500, 784)|(784, 256)|3|2|5|0.32988858222961426
(500, 784)|(784, 256)|3|2|6|0.2935459613800049
(500, 784)|(784, 256)|3|2|7|0.33011293411254883
(500, 784)|(784, 256)|3|2|8|0.3334619998931885
(500, 784)|(784, 256)|3|2|9|0.33779287338256836
(500, 784)|(784, 256)|3|2|10|0.3997349739074707
(500, 784)|(784, 256)|3|2|11|0.26669907569885254
(500, 784)|(784, 256)|3|2|12|0.3181929588317871
(500, 784)|(784, 256)|3|2|13|0.3456919193267822
(500, 784)|(784, 256)|3|2|14|0.2381136417388916
(500, 784)|(784, 256)|3|2|15|0.27353811264038086
(500, 784)|(784, 256)|3|2|16|0.3071596622467041
(500, 784)|(784, 256)|3|2|17|0.28457069396972656
(500, 784)|(784, 256)|3|2|18|0.3046138286590576
(500, 784)|(784, 256)|3|2|19|0.30115199089050293
(500, 784)|(784, 256)|3|2|20|0.29334115982055664
(500, 784)|(784, 256)|3|2|21|0.23594427108764648
(500, 784)|(784, 256)|3|2|22|0.2857351303100586
(500, 784)|(784, 256)|3|2|23|0.27300524711608887
(500, 784)|(784, 256)|3|2|24|0.2870347499847412
(500, 784)|(784, 256)|3|2|25|0.20120716094970703
(500, 784)|(784, 256)|3|2|26|0.2573840618133545
(500, 784)|(784, 256)|3|2|27|0.2361469268798828
(500, 784)|(784, 256)|3|2|28|0.25884485244750977
(500, 784)|(784, 256)|3|2|29|0.24761605262756348
(500, 784)|(784, 256)|3|2|30|0.2997870445251465
(500, 784)|(784, 256)|3|2|31|0.30091094970703125
(500, 784)|(784, 256)|3|2|32|0.2623438835144043
(500, 784)|(784, 256)|4|1|2|0.24856114387512207
(500, 784)|(784, 256)|4|1|3|0.3486621379852295
(500, 784)|(784, 256)|4|1|4|0.2785370349884033
(500, 784)|(784, 256)|4|1|5|0.25712013244628906
(500, 784)|(784, 256)|4|1|6|0.30942797660827637
(500, 784)|(784, 256)|4|1|7|0.3693971633911133
(500, 784)|(784, 256)|4|1|8|0.3955221176147461
(500, 784)|(784, 256)|4|1|9|0.31407999992370605
(500, 784)|(784, 256)|4|1|10|0.29520273208618164
(500, 784)|(784, 256)|4|1|11|0.33631086349487305
(500, 784)|(784, 256)|4|1|12|0.37877511978149414
(500, 784)|(784, 256)|4|1|13|0.28169798851013184
(500, 784)|(784, 256)|4|1|14|0.3571012020111084
(500, 784)|(784, 256)|4|1|15|0.2735748291015625
(500, 784)|(784, 256)|4|1|16|0.3652830123901367
(500, 784)|(784, 256)|4|1|17|0.2962932586669922
(500, 784)|(784, 256)|4|1|18|0.32955312728881836
(500, 784)|(784, 256)|4|1|19|0.28879404067993164
(500, 784)|(784, 256)|4|1|20|0.27274322509765625
(500, 784)|(784, 256)|4|1|21|0.31391477584838867
(500, 784)|(784, 256)|4|1|22|0.25760507583618164
(500, 784)|(784, 256)|4|1|23|0.300325870513916
(500, 784)|(784, 256)|4|1|24|0.3186168670654297
(500, 784)|(784, 256)|4|1|25|0.28574204444885254
(500, 784)|(784, 256)|4|1|26|0.2862992286682129
(500, 784)|(784, 256)|4|1|27|0.2952709197998047
(500, 784)|(784, 256)|4|1|28|0.23216891288757324
