shapeA|shapeB|x_f|y_f|k_f|time_taken
(3000, 784)|(784, 256)|2|1|2|0.16569876670837402
(3000, 784)|(784, 256)|2|1|3|0.21315693855285645
(3000, 784)|(784, 256)|2|1|4|0.11606097221374512
(3000, 784)|(784, 256)|2|1|5|0.19234800338745117
(3000, 784)|(784, 256)|2|1|6|0.2523367404937744
(3000, 784)|(784, 256)|2|1|7|0.18181896209716797
(3000, 784)|(784, 256)|2|1|8|0.20938396453857422
(3000, 784)|(784, 256)|2|1|9|0.20509910583496094
(3000, 784)|(784, 256)|2|1|10|0.20876002311706543
(3000, 784)|(784, 256)|2|1|11|0.15537524223327637
(3000, 784)|(784, 256)|2|1|12|0.2117152214050293
(3000, 784)|(784, 256)|2|1|13|0.2728297710418701
(3000, 784)|(784, 256)|2|1|14|0.26576995849609375
(3000, 784)|(784, 256)|2|1|15|0.27608394622802734
(3000, 784)|(784, 256)|2|1|16|0.19632482528686523
(3000, 784)|(784, 256)|3|1|2|0.18217682838439941
(3000, 784)|(784, 256)|3|1|3|0.23857402801513672
(3000, 784)|(784, 256)|3|1|4|1.7280149459838867
(3000, 784)|(784, 256)|3|1|5|0.13534283638000488
(3000, 784)|(784, 256)|3|1|6|0.21148014068603516
(3000, 784)|(784, 256)|3|1|7|0.198685884475708
(3000, 784)|(784, 256)|3|1|8|0.2471468448638916
(3000, 784)|(784, 256)|3|1|9|0.23447108268737793
(3000, 784)|(784, 256)|3|1|10|0.2744016647338867
(3000, 784)|(784, 256)|3|1|11|0.2154560089111328
(3000, 784)|(784, 256)|3|1|12|0.16553997993469238
(3000, 784)|(784, 256)|3|1|13|0.15901899337768555
(3000, 784)|(784, 256)|3|1|14|0.20638298988342285
(3000, 784)|(784, 256)|3|1|15|0.24083518981933594
(3000, 784)|(784, 256)|3|1|16|0.27420592308044434
(3000, 784)|(784, 256)|3|2|3|0.23266196250915527
(3000, 784)|(784, 256)|3|2|4|0.22251415252685547
(3000, 784)|(784, 256)|3|2|5|0.21936726570129395
(3000, 784)|(784, 256)|3|2|6|0.22846078872680664
(3000, 784)|(784, 256)|3|2|7|0.22276091575622559
(3000, 784)|(784, 256)|3|2|8|0.2922208309173584
(3000, 784)|(784, 256)|3|2|9|0.19909381866455078
(3000, 784)|(784, 256)|3|2|10|0.23555469512939453
(3000, 784)|(784, 256)|3|2|11|0.40007495880126953
(3000, 784)|(784, 256)|3|2|12|0.17601394653320312
(3000, 784)|(784, 256)|3|2|13|0.2096858024597168
(3000, 784)|(784, 256)|3|2|14|0.27843594551086426
(3000, 784)|(784, 256)|3|2|15|0.2915687561035156
(3000, 784)|(784, 256)|3|2|16|0.31910085678100586
(3000, 784)|(784, 256)|4|1|2|0.2603280544281006
(3000, 784)|(784, 256)|4|1|3|0.28999805450439453
(3000, 784)|(784, 256)|4|1|4|0.22385835647583008
(3000, 784)|(784, 256)|4|1|5|0.2726402282714844
(3000, 784)|(784, 256)|4|1|6|0.28159308433532715
(3000, 784)|(784, 256)|4|1|7|0.32132697105407715
(3000, 784)|(784, 256)|4|1|8|0.22808289527893066
