shapeA|shapeB|x_f|y_f|k_f|time_taken
(4000, 784)|(784, 256)|2|1|2|0.4331929683685303
(4000, 784)|(784, 256)|2|1|3|0.2175447940826416
(4000, 784)|(784, 256)|2|1|4|0.20990705490112305
(4000, 784)|(784, 256)|2|1|5|0.15459394454956055
(4000, 784)|(784, 256)|2|1|6|0.22142791748046875
(4000, 784)|(784, 256)|2|1|7|0.16512203216552734
(4000, 784)|(784, 256)|2|1|8|0.28935766220092773
(4000, 784)|(784, 256)|2|1|9|0.19709372520446777
(4000, 784)|(784, 256)|2|1|10|0.27826619148254395
(4000, 784)|(784, 256)|2|1|11|0.25580596923828125
(4000, 784)|(784, 256)|2|1|12|0.2672700881958008
(4000, 784)|(784, 256)|2|1|13|0.272197961807251
(4000, 784)|(784, 256)|2|1|14|0.1937727928161621
(4000, 784)|(784, 256)|2|1|15|0.180372953414917
(4000, 784)|(784, 256)|2|1|16|0.19883990287780762
(4000, 784)|(784, 256)|3|1|2|0.10011887550354004
(4000, 784)|(784, 256)|3|1|3|0.22815322875976562
(4000, 784)|(784, 256)|3|1|4|0.1916208267211914
(4000, 784)|(784, 256)|3|1|5|0.3077528476715088
(4000, 784)|(784, 256)|3|1|6|0.26274681091308594
(4000, 784)|(784, 256)|3|1|7|0.21106195449829102
(4000, 784)|(784, 256)|3|1|8|0.2394099235534668
(4000, 784)|(784, 256)|3|1|9|0.15709328651428223
(4000, 784)|(784, 256)|3|1|10|0.21962380409240723
(4000, 784)|(784, 256)|3|1|11|0.27193593978881836
(4000, 784)|(784, 256)|3|1|12|0.32156801223754883
(4000, 784)|(784, 256)|3|1|13|0.22694921493530273
(4000, 784)|(784, 256)|3|1|14|0.23102402687072754
(4000, 784)|(784, 256)|3|1|15|0.2445371150970459
(4000, 784)|(784, 256)|3|1|16|0.2144010066986084
(4000, 784)|(784, 256)|3|2|3|0.21327519416809082
(4000, 784)|(784, 256)|3|2|4|0.2933168411254883
(4000, 784)|(784, 256)|3|2|5|0.16129493713378906
(4000, 784)|(784, 256)|3|2|6|0.19799590110778809
(4000, 784)|(784, 256)|3|2|7|0.1983649730682373
(4000, 784)|(784, 256)|3|2|8|0.2091519832611084
(4000, 784)|(784, 256)|3|2|9|0.27387475967407227
(4000, 784)|(784, 256)|3|2|10|0.28811001777648926
(4000, 784)|(784, 256)|3|2|11|0.1999499797821045
(4000, 784)|(784, 256)|3|2|12|0.15872716903686523
(4000, 784)|(784, 256)|3|2|13|0.18961620330810547
(4000, 784)|(784, 256)|3|2|14|0.24509525299072266
(4000, 784)|(784, 256)|3|2|15|0.19689488410949707
(4000, 784)|(784, 256)|3|2|16|0.14966225624084473
(4000, 784)|(784, 256)|4|1|2|0.17286896705627441
(4000, 784)|(784, 256)|4|1|3|0.2988851070404053
(4000, 784)|(784, 256)|4|1|4|0.1976161003112793
(4000, 784)|(784, 256)|4|1|5|0.28645777702331543
(4000, 784)|(784, 256)|4|1|6|0.24644136428833008
(4000, 784)|(784, 256)|4|1|7|0.24142789840698242
(4000, 784)|(784, 256)|4|1|8|0.3127930164337158
(4000, 784)|(784, 256)|4|1|9|0.2592649459838867
(4000, 784)|(784, 256)|4|1|10|0.19237208366394043
(4000, 784)|(784, 256)|4|1|11|0.20486116409301758
(4000, 784)|(784, 256)|4|1|12|0.23329496383666992
(4000, 784)|(784, 256)|4|1|13|0.17656588554382324
(4000, 784)|(784, 256)|4|1|14|0.23793888092041016
(4000, 784)|(784, 256)|4|1|15|0.2209949493408203
(4000, 784)|(784, 256)|4|1|16|0.19656777381896973
(4000, 784)|(784, 256)|4|2|3|0.19188308715820312
(4000, 784)|(784, 256)|4|2|4|0.321627140045166
(4000, 784)|(784, 256)|4|2|5|0.17450881004333496
(4000, 784)|(784, 256)|4|2|6|0.31519579887390137
(4000, 784)|(784, 256)|4|2|7|0.2301921844482422
(4000, 784)|(784, 256)|4|2|8|0.19628190994262695
(4000, 784)|(784, 256)|4|2|9|0.40971899032592773
(4000, 784)|(784, 256)|4|2|10|0.20181488990783691
(4000, 784)|(784, 256)|4|2|11|0.18622732162475586
(4000, 784)|(784, 256)|4|2|12|0.16504287719726562
(4000, 784)|(784, 256)|4|2|13|0.18420982360839844
(4000, 784)|(784, 256)|4|2|14|0.2555379867553711
(4000, 784)|(784, 256)|4|2|15|0.1890859603881836
(4000, 784)|(784, 256)|4|2|16|0.2825050354003906
(4000, 784)|(784, 256)|4|3|4|0.22791409492492676
(4000, 784)|(784, 256)|4|3|5|0.1901540756225586
(4000, 784)|(784, 256)|4|3|6|0.19720911979675293
(4000, 784)|(784, 256)|4|3|7|0.2754340171813965
(4000, 784)|(784, 256)|4|3|8|0.1928718090057373
(4000, 784)|(784, 256)|4|3|9|0.29642605781555176
(4000, 784)|(784, 256)|4|3|10|0.1944282054901123
(4000, 784)|(784, 256)|4|3|11|0.2292180061340332
(4000, 784)|(784, 256)|4|3|12|0.3477461338043213
(4000, 784)|(784, 256)|4|3|13|0.2797369956970215
(4000, 784)|(784, 256)|4|3|14|0.19854092597961426
(4000, 784)|(784, 256)|4|3|15|0.23186469078063965
(4000, 784)|(784, 256)|4|3|16|0.23217201232910156
(4000, 784)|(784, 256)|5|1|2|0.3394138813018799
(4000, 784)|(784, 256)|5|1|3|0.2549917697906494
(4000, 784)|(784, 256)|5|1|4|0.2663578987121582
(4000, 784)|(784, 256)|5|1|5|0.16330194473266602
(4000, 784)|(784, 256)|5|1|6|0.26099205017089844
