shapeA|shapeB|x_f|y_f|k_f|time_taken
(1000, 784)|(784, 256)|2|1|2|0.3006730079650879
(1000, 784)|(784, 256)|2|1|3|0.27519989013671875
(1000, 784)|(784, 256)|2|1|4|0.2770988941192627
(1000, 784)|(784, 256)|2|1|5|0.30289793014526367
(1000, 784)|(784, 256)|2|1|6|0.3265557289123535
(1000, 784)|(784, 256)|2|1|7|0.3077077865600586
(1000, 784)|(784, 256)|2|1|8|0.27551698684692383
(1000, 784)|(784, 256)|2|1|9|0.3028709888458252
(1000, 784)|(784, 256)|2|1|10|0.3424031734466553
(1000, 784)|(784, 256)|2|1|11|0.31931185722351074
(1000, 784)|(784, 256)|2|1|12|0.29223108291625977
(1000, 784)|(784, 256)|2|1|13|0.23316693305969238
(1000, 784)|(784, 256)|2|1|14|0.3817636966705322
(1000, 784)|(784, 256)|2|1|15|0.23267769813537598
(1000, 784)|(784, 256)|2|1|16|0.3727884292602539
(1000, 784)|(784, 256)|3|1|2|0.3102848529815674
(1000, 784)|(784, 256)|3|1|3|0.2772939205169678
(1000, 784)|(784, 256)|3|1|4|0.27346324920654297
(1000, 784)|(784, 256)|3|1|5|0.2725539207458496
(1000, 784)|(784, 256)|3|1|6|0.35921525955200195
(1000, 784)|(784, 256)|3|1|7|0.3170909881591797
(1000, 784)|(784, 256)|3|1|8|0.3460731506347656
(1000, 784)|(784, 256)|3|1|9|0.34688901901245117
(1000, 784)|(784, 256)|3|1|10|0.3554692268371582
(1000, 784)|(784, 256)|3|1|11|0.33268213272094727
(1000, 784)|(784, 256)|3|1|12|0.30173611640930176
(1000, 784)|(784, 256)|3|1|13|0.3380918502807617
(1000, 784)|(784, 256)|3|1|14|0.3752000331878662
(1000, 784)|(784, 256)|3|1|15|0.23823213577270508
(1000, 784)|(784, 256)|3|1|16|0.3169219493865967
(1000, 784)|(784, 256)|3|2|3|0.3725168704986572
(1000, 784)|(784, 256)|3|2|4|0.36628198623657227
(1000, 784)|(784, 256)|3|2|5|0.3514270782470703
(1000, 784)|(784, 256)|3|2|6|0.301135778427124
(1000, 784)|(784, 256)|3|2|7|0.3743119239807129
(1000, 784)|(784, 256)|3|2|8|0.3557779788970947
(1000, 784)|(784, 256)|3|2|9|0.36139822006225586
(1000, 784)|(784, 256)|3|2|10|0.41747093200683594
(1000, 784)|(784, 256)|3|2|11|0.3380098342895508
(1000, 784)|(784, 256)|3|2|12|0.2589890956878662
(1000, 784)|(784, 256)|3|2|13|0.2550787925720215
(1000, 784)|(784, 256)|3|2|14|0.27506518363952637
(1000, 784)|(784, 256)|3|2|15|0.30991101264953613
(1000, 784)|(784, 256)|3|2|16|0.3692002296447754
(1000, 784)|(784, 256)|4|1|2|0.2661008834838867
(1000, 784)|(784, 256)|4|1|3|0.2795751094818115
(1000, 784)|(784, 256)|4|1|4|0.279465913772583
(1000, 784)|(784, 256)|4|1|5|0.2727658748626709
(1000, 784)|(784, 256)|4|1|6|0.31035900115966797
(1000, 784)|(784, 256)|4|1|7|0.40411806106567383
(1000, 784)|(784, 256)|4|1|8|0.3285698890686035
(1000, 784)|(784, 256)|4|1|9|0.2650270462036133
(1000, 784)|(784, 256)|4|1|10|0.371013879776001
(1000, 784)|(784, 256)|4|1|11|0.3456909656524658
(1000, 784)|(784, 256)|4|1|12|0.3598957061767578
(1000, 784)|(784, 256)|4|1|13|0.34213805198669434
(1000, 784)|(784, 256)|4|1|14|0.28607726097106934
(1000, 784)|(784, 256)|4|1|15|0.33266305923461914
(1000, 784)|(784, 256)|4|1|16|0.3185417652130127
(1000, 784)|(784, 256)|4|2|3|0.35516786575317383
(1000, 784)|(784, 256)|4|2|4|0.32660794258117676
(1000, 784)|(784, 256)|4|2|5|0.3081319332122803
(1000, 784)|(784, 256)|4|2|6|0.3517003059387207
(1000, 784)|(784, 256)|4|2|7|0.3244800567626953
(1000, 784)|(784, 256)|4|2|8|0.27347302436828613
(1000, 784)|(784, 256)|4|2|9|0.8607571125030518
(1000, 784)|(784, 256)|4|2|10|0.28861284255981445
(1000, 784)|(784, 256)|4|2|11|0.24124693870544434
(1000, 784)|(784, 256)|4|2|12|0.29384303092956543
(1000, 784)|(784, 256)|4|2|13|0.2577199935913086
(1000, 784)|(784, 256)|4|2|14|0.34951090812683105
(1000, 784)|(784, 256)|4|2|15|0.2505030632019043
(1000, 784)|(784, 256)|4|2|16|0.35862278938293457
(1000, 784)|(784, 256)|4|3|4|0.27349400520324707
(1000, 784)|(784, 256)|4|3|5|0.35387587547302246
(1000, 784)|(784, 256)|4|3|6|0.36867690086364746
(1000, 784)|(784, 256)|4|3|7|0.2762587070465088
(1000, 784)|(784, 256)|4|3|8|0.3864738941192627
(1000, 784)|(784, 256)|4|3|9|0.30080199241638184
(1000, 784)|(784, 256)|4|3|10|0.3165278434753418
(1000, 784)|(784, 256)|4|3|11|0.2833669185638428
