shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|4|1|5|0.2789912223815918
(500, 784)|(784, 256)|4|1|6|0.27451491355895996
(500, 784)|(784, 256)|4|1|7|0.37322187423706055
(500, 784)|(784, 256)|4|1|8|0.3523702621459961
(500, 784)|(784, 256)|4|1|9|0.3585820198059082
(500, 784)|(784, 256)|4|1|10|0.33322811126708984
(500, 784)|(784, 256)|4|1|11|0.3239569664001465
(500, 784)|(784, 256)|4|1|12|0.329878568649292
(500, 784)|(784, 256)|4|1|13|0.23392415046691895
(500, 784)|(784, 256)|4|1|14|0.29678988456726074
(500, 784)|(784, 256)|4|1|15|0.2510678768157959
(500, 784)|(784, 256)|4|1|16|0.3356208801269531
(500, 784)|(784, 256)|4|1|17|0.24298906326293945
(500, 784)|(784, 256)|4|1|18|0.2334740161895752
(500, 784)|(784, 256)|4|1|19|0.2991969585418701
(500, 784)|(784, 256)|4|1|20|0.30541491508483887
(500, 784)|(784, 256)|4|1|21|0.23382973670959473
(500, 784)|(784, 256)|4|1|22|0.2981879711151123
(500, 784)|(784, 256)|4|1|23|0.2984199523925781
(500, 784)|(784, 256)|4|1|24|0.24524283409118652
(500, 784)|(784, 256)|4|1|25|0.27849292755126953
(500, 784)|(784, 256)|4|1|26|0.3020820617675781
(500, 784)|(784, 256)|4|1|27|0.21929001808166504
(500, 784)|(784, 256)|4|1|28|0.27278804779052734
(500, 784)|(784, 256)|4|1|29|0.2626190185546875
(500, 784)|(784, 256)|4|1|30|0.25121521949768066
(500, 784)|(784, 256)|4|1|31|0.19953417778015137
(500, 784)|(784, 256)|4|1|32|0.3116118907928467
(500, 784)|(784, 256)|4|2|3|0.28430914878845215
(500, 784)|(784, 256)|4|2|4|0.23905611038208008
(500, 784)|(784, 256)|4|2|5|0.36591386795043945
(500, 784)|(784, 256)|4|2|6|0.33309102058410645
(500, 784)|(784, 256)|4|2|7|0.27506589889526367
(500, 784)|(784, 256)|4|2|8|0.27429771423339844
(500, 784)|(784, 256)|4|2|9|0.3135683536529541
(500, 784)|(784, 256)|4|2|10|0.36356592178344727
(500, 784)|(784, 256)|4|2|11|0.2456820011138916
(500, 784)|(784, 256)|4|2|12|0.30063891410827637
(500, 784)|(784, 256)|4|2|13|0.2601349353790283
(500, 784)|(784, 256)|4|2|14|0.36676502227783203
(500, 784)|(784, 256)|4|2|15|0.2645912170410156
(500, 784)|(784, 256)|4|2|16|0.38436102867126465
(500, 784)|(784, 256)|4|2|17|0.2660360336303711
(500, 784)|(784, 256)|4|2|18|0.24021196365356445
(500, 784)|(784, 256)|4|2|19|0.28143787384033203
(500, 784)|(784, 256)|4|2|20|0.2895631790161133
(500, 784)|(784, 256)|4|2|21|0.3095879554748535
(500, 784)|(784, 256)|4|2|22|0.2502861022949219
(500, 784)|(784, 256)|4|2|23|0.26058197021484375
(500, 784)|(784, 256)|4|2|24|0.2488701343536377
(500, 784)|(784, 256)|4|2|25|0.315598726272583
(500, 784)|(784, 256)|4|2|26|0.30237436294555664
(500, 784)|(784, 256)|4|2|27|0.3180699348449707
(500, 784)|(784, 256)|4|2|28|0.2570521831512451
(500, 784)|(784, 256)|4|2|29|0.2791171073913574
(500, 784)|(784, 256)|4|2|30|0.2355480194091797
(500, 784)|(784, 256)|4|2|31|0.2708609104156494
(500, 784)|(784, 256)|4|2|32|0.3422379493713379
(500, 784)|(784, 256)|4|3|4|0.40578699111938477
(500, 784)|(784, 256)|4|3|5|0.3661379814147949
(500, 784)|(784, 256)|4|3|6|0.3573639392852783
(500, 784)|(784, 256)|4|3|7|0.2797088623046875
(500, 784)|(784, 256)|4|3|8|0.304340124130249
(500, 784)|(784, 256)|4|3|9|0.2910027503967285
(500, 784)|(784, 256)|4|3|10|0.3847689628601074
(500, 784)|(784, 256)|4|3|11|0.29814791679382324
(500, 784)|(784, 256)|4|3|12|0.2967250347137451
(500, 784)|(784, 256)|4|3|13|0.3261382579803467
(500, 784)|(784, 256)|4|3|14|0.33646392822265625
(500, 784)|(784, 256)|4|3|15|0.3004271984100342
(500, 784)|(784, 256)|4|3|16|0.3337421417236328
(500, 784)|(784, 256)|4|3|17|0.287229061126709
(500, 784)|(784, 256)|4|3|18|0.3350391387939453
(500, 784)|(784, 256)|4|3|19|0.3237471580505371
(500, 784)|(784, 256)|4|3|20|0.31635475158691406
(500, 784)|(784, 256)|4|3|21|0.3674030303955078
(500, 784)|(784, 256)|4|3|22|0.33132433891296387
(500, 784)|(784, 256)|4|3|23|0.3117380142211914
(500, 784)|(784, 256)|4|3|24|0.33072805404663086
(500, 784)|(784, 256)|4|3|25|0.35050177574157715
(500, 784)|(784, 256)|4|3|26|0.3546102046966553
(500, 784)|(784, 256)|4|3|27|0.2611970901489258
(500, 784)|(784, 256)|4|3|28|0.2996079921722412
(500, 784)|(784, 256)|4|3|29|0.3548150062561035
(500, 784)|(784, 256)|4|3|30|0.2639448642730713
(500, 784)|(784, 256)|4|3|31|0.31683897972106934
(500, 784)|(784, 256)|4|3|32|0.2756080627441406
(500, 784)|(784, 256)|5|1|2|0.276561975479126
(500, 784)|(784, 256)|5|1|3|0.24057221412658691
(500, 784)|(784, 256)|5|1|4|0.2684347629547119
(500, 784)|(784, 256)|5|1|5|0.3191652297973633
(500, 784)|(784, 256)|5|1|6|0.2641468048095703
(500, 784)|(784, 256)|5|1|7|0.34272003173828125
(500, 784)|(784, 256)|5|1|8|0.325275182723999
(500, 784)|(784, 256)|5|1|9|0.3626880645751953
(500, 784)|(784, 256)|5|1|10|0.34813594818115234
(500, 784)|(784, 256)|5|1|11|0.3670918941497803
(500, 784)|(784, 256)|5|1|12|0.3957219123840332
(500, 784)|(784, 256)|5|1|13|0.32553982734680176
(500, 784)|(784, 256)|5|1|14|0.31955599784851074
(500, 784)|(784, 256)|5|1|15|0.2434859275817871
(500, 784)|(784, 256)|5|1|16|0.3471109867095947
(500, 784)|(784, 256)|5|1|17|0.26270294189453125
(500, 784)|(784, 256)|5|1|18|0.3372159004211426
(500, 784)|(784, 256)|5|1|19|0.2545812129974365
(500, 784)|(784, 256)|5|1|20|0.23833394050598145
(500, 784)|(784, 256)|5|1|21|0.25523900985717773
(500, 784)|(784, 256)|5|1|22|0.2762002944946289
(500, 784)|(784, 256)|5|1|23|0.26766395568847656
(500, 784)|(784, 256)|5|1|24|0.22991204261779785
(500, 784)|(784, 256)|5|1|25|0.30937695503234863
(500, 784)|(784, 256)|5|1|26|0.2862248420715332
(500, 784)|(784, 256)|5|1|27|0.3001980781555176
(500, 784)|(784, 256)|5|1|28|0.3278319835662842
(500, 784)|(784, 256)|5|1|29|0.24134016036987305
(500, 784)|(784, 256)|5|1|30|0.2329568862915039
